regressor,classifier,R2,PR-AUC,Brier,train_n,test_n,split
ridge,histgbm,0.9342903201205202,0.9796420141620771,0.0018287546645854842,3224,806,time
xgb,histgbm,0.9088466497126455,0.9796420141620771,0.0018287546645854842,3224,806,time
histgbm,histgbm,0.9058380928870184,0.9796420141620771,0.0018287546645854842,3224,806,time
rf,histgbm,0.8603385039900561,0.9796420141620771,0.0018287546645854842,3224,806,time
ridge,xgb,0.9342903201205202,0.9795313247250119,0.0018464647897467046,3224,806,time
xgb,xgb,0.9088466497126455,0.9795313247250119,0.0018464647897467046,3224,806,time
histgbm,xgb,0.9058380928870184,0.9795313247250119,0.0018464647897467046,3224,806,time
rf,xgb,0.8603385039900561,0.9795313247250119,0.0018464647897467046,3224,806,time
ridge,rf,0.9342903201205202,0.8594930858019689,0.027638070757614236,3224,806,time
xgb,rf,0.9088466497126455,0.8594930858019689,0.027638070757614236,3224,806,time
histgbm,rf,0.9058380928870184,0.8594930858019689,0.02763807075761424,3224,806,time
rf,rf,0.8603385039900561,0.8594930858019689,0.027638070757614236,3224,806,time
xgb,logreg,0.9088466497126455,0.10538892654868429,0.05326635044790296,3224,806,time
rf,logreg,0.8603385039900561,0.10538892654868429,0.05326624914461858,3224,806,time
ridge,logreg,0.9342903201205202,0.10536134825390542,0.05326613410820271,3224,806,time
histgbm,logreg,0.9058380928870184,0.10536134825390542,0.053266176124274034,3224,806,time
